0.020805
0.00999309 -0.0457559 0.0300888 -0.10351 -0.0171454 0.0208097 -0.0302318 -0.0538297 0.173471 
0 0 0 0 0 0 0 0 0 
0.00443719 0.00857031 0.014517 -0.0107752 0.0522433 0.00307381 -0.0197482 0.0683957 0.156362 
-0.0049031 -8.83298e-05 -0.00545489 0.00032304 0.0116475 -0.00187742 0.00285398 0.00403768 0.0106913 
0.0215135 0.0161949 0.0660968 -0.0202301 -0.0196526 -0.0641055 0.0355123 0.0488244 -0.113314 
0.00782791 -0.0281818 -0.0366677 -0.0694654 -0.00592813 0.00808701 -0.0613873 -0.100535 0.189991 
0.0105404 -0.0176072 0.0265572 0.0131045 0.0295068 -0.0160721 -0.0166598 0.0369032 0.105915 
0.00504399 0.0153105 -0.0044806 -0.0243618 0.000868074 -0.0272128 -0.0246612 -0.0109688 0.102184 
0.00691702 0.00936414 -0.0312803 0.0401219 -0.00581725 -0.0398491 0.039535 -0.00353333 0.0363612 
-0.0354136 -0.0115624 0.212286 -0.232976 -0.0232692 0.493122 -0.553786 0.0213691 0.957651 
0 0 0 0 0 0 0 0 0 
-0.0015285 0.0225307 0.00892171 -0.0360248 -0.0501483 0.0673065 -0.0872237 0.0426735 0.0227803 
-0.17457 0.17828 -0.0149307 -0.070359 0.000666046 0.0275903 -0.0791908 0.0930814 0.196538 
0.0279744 0.0318648 0.0352896 0.0226409 0.0512609 0.0604313 0.0542811 0.0565324 0.0874328 
-0.000676273 0.00296023 -0.000651143 0.00166085 0.000112314 0.00187536 -0.00235063 0.000804539 0.000123323 
-0.00201763 -0.000789304 0.0012311 -0.00208902 0.000524421 -0.000106472 -0.000257316 -0.00260718 0.00030891 
-0.0590607 -0.0309789 0.0266403 -0.0125182 -0.0115762 0.0204372 -0.0539676 -0.0666921 -0.0379386 
0 0 0 0 0 0 0 0 0 
